titre,titre_original,score,genre,annee,duree,descriptions,acteurs,public,pays,langue
The Shawshank Redemption,,9.3,"Drama,Back to top",Cast & crew,2h 22m,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","Tim Robbins,Morgan Freeman,Bob Gunton",Cast & crew,Dolby Digital,Frank Darabont
The Godfather,,9.2,"Crime,Drama,Back to top",Cast & crew,2h 55m,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,"Marlon Brando,Al Pacino,James Caan",Cast & crew,Dolby Digital,Francis Ford Coppola
The Dark Knight,,9.0,"Action,Crime,Drama,Back to top",Cast & crew,2h 32m,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Christian Bale,Heath Ledger,Aaron Eckhart",Cast & crew,DTS,Christopher Nolan
The Godfather Part II,,9.0,"Crime,Drama,Back to top",Cast & crew,3h 22m,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Al Pacino,Robert De Niro,Robert Duvall",Cast & crew,Dolby Digital,Francis Ford Coppola
There Will Be Blood,,8.2,"Drama,Back to top",Cast & crew,2h 38m,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.","Daniel Day-Lewis,Paul Dano,Ciarán Hinds",Cast & crew,DTS,Paul Thomas Anderson
Unforgiven,,8.2,"Drama,Western,Back to top",Cast & crew,2h 10m,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""","Clint Eastwood,Gene Hackman,Morgan Freeman",Cast & crew,Color,Clint Eastwood
Pan's Labyrinth,Original title: El laberinto del fauno,8.2,"Drama,Fantasy,War,Back to top",Cast & crew,1h 58m,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.","Ivana Baquero,Ariadna Gil,Sergi López",Cast & crew,Dolby Surround 7.1,Guillermo del Toro
The Truman Show,,8.2,"Comedy,Drama,Back to top",Cast & crew,1h 43m,An insurance salesman discovers his whole life is actually a reality TV show.,"Jim Carrey,Ed Harris,Laura Linney",Cast & crew,Dolby Digital,Peter Weir
Dances with Wolves,,8.0,"Adventure,Drama,Western,Back to top",Cast & crew,3h 1m,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose.","Kevin Costner,Mary McDonnell,Graham Greene",Cast & crew,Color,Kevin Costner
Dersu Uzala,,8.2,"Adventure,Biography,Drama,Back to top",Cast & crew,2h 22m,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.,"Maksim Munzuk,Yuriy Solomin,Mikhail Bychkov",Cast & crew,Color,Akira Kurosawa
Aladdin,,8.0,"Animation,Adventure,Comedy,Back to top",Cast & crew,1h 30m,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"Scott Weinger,Robin Williams,Linda Larkin",Cast & crew,Dolby Stereo,Ron Clements
The Help,,8.1,"Drama,Back to top",Cast & crew,2h 26m,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.","Viola Davis,Emma Stone,Octavia Spencer",Cast & crew,Datasat,Tate Taylor
The Iron Giant,,8.1,"Animation,Action,Adventure,Back to top",Cast & crew,1h 26m,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,"Eli Marienthal,Harry Connick Jr.,Jennifer Aniston",Cast & crew,Dolby,Brad Bird
Life of Brian,,8.0,"Comedy,Back to top",Cast & crew,1h 34m,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.","Graham Chapman,John Cleese,Michael Palin",Cast & crew,Dolby Stereo,Terry Jones
Persona,,8.1,"Drama,Thriller,Back to top",Cast & crew,1h 23m,A nurse is put in charge of a mute actress and finds that their personae are melding together.,"Bibi Andersson,Liv Ullmann,Margaretha Krook",Cast & crew,AGA Sound System,Ingmar Bergman
It Happened One Night,,8.1,"Comedy,Romance,Back to top",Cast & crew,1h 45m,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.","Clark Gable,Claudette Colbert,Walter Connolly",Cast & crew,Black and White,Frank Capra
The 400 Blows,Original title: Les quatre cents coups,8.1,"Crime,Drama,Back to top",Cast & crew,1h 39m,"A young boy, left without attention, delves into a life of petty crime.","Jean-Pierre Léaud,Albert Rémy,Claire Maurier",Cast & crew,Mono,François Truffaut
The Sound of Music,,8.1,"Biography,Drama,Family,Back to top",Cast & crew,2h 52m,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,"Julie Andrews,Christopher Plummer,Eleanor Parker",Cast & crew,Color,Robert Wise
The Handmaiden,Original title: Ah-ga-ssi,8.1,"Drama,Romance,Thriller,Back to top",Cast & crew,2h 25m,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","Kim Min-hee,Ha Jung-woo,Cho Jin-woong",Cast & crew,Dolby Surround 7.1,Park Chan-wook
Cool Hand Luke,,8.1,"Crime,Drama,Back to top",Cast & crew,2h 7m,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.","Paul Newman,George Kennedy,Strother Martin",Cast & crew,Mono,Stuart Rosenberg
Rebecca,,8.1,"Drama,Film-Noir,Mystery,Back to top",Cast & crew,2h 10m,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,"Laurence Olivier,Joan Fontaine,George Sanders",Cast & crew,Black and White,Alfred Hitchcock
Amores Perros,Original title: Amores perros,8.1,"Drama,Thriller,Back to top",Cast & crew,2h 34m,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.","Emilio Echevarría,Gael García Bernal,Goya Toledo",Cast & crew,Dolby Digital,Alejandro G. Iñárritu
My Father and My Son,Original title: Babam ve Oglum,8.2,"Drama,Family,Back to top",Cast & crew,1h 52m,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,"Çetin Tekindor,Fikret Kuskan,Hümeyra",Cast & crew,Dolby Digital,Çagan Irmak
Jai Bhim,,8.8,"Crime,Drama,Mystery,Back to top",Cast & crew,2h 44m,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.","Suriya,Lijo Mol Jose,Manikandan K.",Cast & crew,Color,T.J. Gnanavel
The Grapes of Wrath,,8.1,"Drama,Back to top",Cast & crew,2h 9m,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.","Henry Fonda,Jane Darwell,John Carradine",Cast & crew,Black and White,John Ford
The Battle of Algiers,Original title: La battaglia di Algeri,8.1,"Drama,War,Back to top",Cast & crew,2h 1m,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.","Brahim Hadjadj,Jean Martin,Yacef Saadi",Cast & crew,Mono,Gillo Pontecorvo
