titre,titre_original,score,genre,annee,duree,descriptions,acteurs,public,pays,langue
The Shawshank Redemption,,9.3,"Drama,Back to top",1994,142.0,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","Tim Robbins,Morgan Freeman,Bob Gunton",R,United States,English
The Godfather,,9.2,"Crime,Drama,Back to top",1972,175.0,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,"Marlon Brando,Al Pacino,James Caan",R,United States,English
The Dark Knight,,9.0,"Action,Crime,Drama,Back to top",2008,152.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Christian Bale,Heath Ledger,Aaron Eckhart",PG-13,United States,English
The Godfather Part II,,9.0,"Crime,Drama,Back to top",1974,202.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Al Pacino,Robert De Niro,Robert Duvall",R,United States,English
It Happened One Night,,8.1,"Comedy,Romance,Back to top",1934,105.0,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.","Clark Gable,Claudette Colbert,Walter Connolly",Passed,United States,English
Life of Brian,,8.0,"Comedy,Back to top",1979,94.0,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.","Graham Chapman,John Cleese,Michael Palin",R,United Kingdom,English
Persona,,8.1,"Drama,Thriller,Back to top",1966,83.0,A nurse is put in charge of a mute actress and finds that their personae are melding together.,"Bibi Andersson,Liv Ullmann,Margaretha Krook",Not Rated,Sweden,Swedish
The 400 Blows,Original title: Les quatre cents coups,8.1,"Crime,Drama,Back to top",1959,99.0,"A young boy, left without attention, delves into a life of petty crime.","Jean-Pierre Léaud,Albert Rémy,Claire Maurier",Not Rated,France,French
Dances with Wolves,,8.0,"Adventure,Drama,Western,Back to top",1990,181.0,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose.","Kevin Costner,Mary McDonnell,Graham Greene",PG-13,United States,English
Dersu Uzala,,8.2,"Adventure,Biography,Drama,Back to top",1975,142.0,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.,"Maksim Munzuk,Yuriy Solomin,Mikhail Bychkov",G,Soviet Union,Russian
Aladdin,,8.0,"Animation,Adventure,Comedy,Back to top",1992,90.0,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"Scott Weinger,Robin Williams,Linda Larkin",G,United States,English
The Help,,8.1,"Drama,Back to top",2011,146.0,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.","Viola Davis,Emma Stone,Octavia Spencer",PG-13,United States,English
The Iron Giant,,8.1,"Animation,Action,Adventure,Back to top",1999,86.0,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,"Eli Marienthal,Harry Connick Jr.,Jennifer Aniston",PG,United States,English
The Sound of Music,,8.1,"Biography,Drama,Family,Back to top",1965,172.0,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,"Julie Andrews,Christopher Plummer,Eleanor Parker",G,United States,English
The Handmaiden,Original title: Ah-ga-ssi,8.1,"Drama,Romance,Thriller,Back to top",2016,145.0,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","Kim Min-hee,Ha Jung-woo,Cho Jin-woong",Not Rated,South Korea,Korean
Rebecca,,8.1,"Drama,Film-Noir,Mystery,Back to top",1940,130.0,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,"Laurence Olivier,Joan Fontaine,George Sanders",Approved,United States,English
Cool Hand Luke,,8.1,"Crime,Drama,Back to top",1967,127.0,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.","Paul Newman,George Kennedy,Strother Martin",GP,United States,English
Amores Perros,Original title: Amores perros,8.1,"Drama,Thriller,Back to top",2000,154.0,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.","Emilio Echevarría,Gael García Bernal,Goya Toledo",R,Mexico,Spanish
My Father and My Son,Original title: Babam ve Oglum,8.2,"Drama,Family,Back to top",2005,112.0,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,"Çetin Tekindor,Fikret Kuskan,Hümeyra",Not Rated,Turkey,Turkish
Jai Bhim,,8.8,"Crime,Drama,Mystery,Back to top",2021,164.0,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.","Suriya,Lijo Mol Jose,Manikandan K.",TV-MA,India,Tamil
The Battle of Algiers,Original title: La battaglia di Algeri,8.1,"Drama,War,Back to top",1966,121.0,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.","Brahim Hadjadj,Jean Martin,Yacef Saadi",Not Rated,Italy,Arabic
