titre,titre_original,score,genre,annee,duree,descriptions,acteurs,public,pays,langue,nb_episode,nb_saison
Planet Earth II,,9.5,"Documentary,Back to top",Cast & crew,TV Mini Series,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,"David Attenborough,Gordon Buchanan,Chadden Hunter",Cast & crew,Dolby Digital,David Attenborough,6,
Breaking Bad,,9.5,"Crime,Drama,Thriller,Back to top",Cast & crew,TV Series,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,"Bryan Cranston,Aaron Paul,Anna Gunn",Cast & crew,Dolby Digital,Vince Gilligan,62,
Planet Earth,,9.4,"Documentary,Back to top",Cast & crew,TV Mini Series,"A documentary series on the wildlife found on Earth. Each episode covers a different habitat: deserts, mountains, deep oceans, shallow seas, forests, caves, polar regions, fresh water, plains and jungles. Narrated by David Attenborough.","Sigourney Weaver,David Attenborough,Nikolay Drozdov",Cast & crew,Color,Sigourney Weaver,11,
Band of Brothers,,9.4,"Drama,History,War,Back to top",Cast & crew,TV Mini Series,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.","Scott Grimes,Damian Lewis,Ron Livingston",Cast & crew,Dolby Digital,Scott Grimes,10,
1883,,8.7,"Drama,Western,Back to top",Cast & crew,TV Mini Series,Follows the Dutton family as they embark on a journey west.,"Sam Elliott,Tim McGraw,Faith Hill",Cast & crew,Dolby Digital,Taylor Sheridan,10,
Line of Duty,,8.7,"Crime,Drama,Mystery,Back to top",Cast & crew,TV Series,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit.","Martin Compston,Vicky McClure,Adrian Dunbar",Cast & crew,Dolby Digital,Jed Mercurio,37,
The Thick of It,,8.7,"Comedy,Back to top",Cast & crew,TV Series,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.,"Chris Addison,James Smith,Peter Capaldi",Cast & crew,Stereo,Armando Iannucci,24,
Justice League Unlimited,,8.7,"Animation,Action,Adventure,Back to top",Cast & crew,TV Series,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.,"George Newbern,Kevin Conroy,Phil LaMarr",Cast & crew,Stereo,Jack Kirby,39,
Spartacus,Original title: Spartacus: Blood and Sand,8.5,"Action,Adventure,Biography,Back to top",Cast & crew,TV Series,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.","Andy Whitfield,Lucy Lawless,Manu Bennett",Cast & crew,Dolby Digital,Steven S. DeKnight,34,
Endeavour,,8.6,"Crime,Drama,Mystery,Back to top",Cast & crew,TV Series,"Set from 1965 into the 1970s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.","Shaun Evans,Roger Allam,James Bradshaw",Cast & crew,Stereo,Shaun Evans,36,
